time,load_shortfall_3h
2018-01-01 00:00:00,9120.762045605827
2018-01-01 03:00:00,8547.016626542252
2018-01-01 06:00:00,9047.441398520934
2018-01-01 09:00:00,10210.979964411781
2018-01-01 12:00:00,9050.553142787545
2018-01-01 15:00:00,8142.576386190658
2018-01-01 18:00:00,7715.876734395287
2018-01-01 21:00:00,6762.420890387745
2018-01-02 00:00:00,7630.31391488062
2018-01-02 03:00:00,8952.86143702861
2018-01-02 06:00:00,9817.492276723904
2018-01-02 09:00:00,10408.60117413726
2018-01-02 12:00:00,7429.255404451517
2018-01-02 15:00:00,8980.324430600493
2018-01-02 18:00:00,9504.661252912349
2018-01-02 21:00:00,9379.068520536777
2018-01-03 00:00:00,8536.127001439176
2018-01-03 03:00:00,8800.544429507874
2018-01-03 06:00:00,8633.918634805526
2018-01-03 09:00:00,8891.368743610263
2018-01-03 12:00:00,8012.4763410520045
2018-01-03 15:00:00,7389.674910691207
2018-01-03 18:00:00,8820.237107956436
2018-01-03 21:00:00,8925.48779862143
2018-01-04 00:00:00,8727.699356864798
2018-01-04 03:00:00,10031.700678600344
2018-01-04 06:00:00,10401.034249352271
2018-01-04 09:00:00,8420.462059014431
2018-01-04 12:00:00,8446.388760135023
2018-01-04 15:00:00,8557.238252808638
2018-01-04 18:00:00,8201.378442125111
2018-01-04 21:00:00,7987.630754124411
2018-01-05 00:00:00,9015.748506517488
2018-01-05 03:00:00,9468.258726188837
2018-01-05 06:00:00,8935.44601760686
2018-01-05 09:00:00,7289.590638682034
2018-01-05 12:00:00,6966.379338575006
2018-01-05 15:00:00,7542.241475879866
2018-01-05 18:00:00,7780.083716097919
2018-01-05 21:00:00,9404.397778262355
2018-01-06 00:00:00,8111.016795428948
2018-01-06 03:00:00,9697.899663350876
2018-01-06 06:00:00,10240.098245338184
2018-01-06 09:00:00,9636.392245562462
2018-01-06 12:00:00,10417.482551562016
2018-01-06 15:00:00,11657.781262934974
2018-01-06 18:00:00,11073.744826027607
2018-01-06 21:00:00,10430.757002426391
2018-01-07 00:00:00,9003.965235252495
2018-01-07 03:00:00,9956.625045951216
2018-01-07 06:00:00,9742.907932310827
2018-01-07 09:00:00,8925.672693890301
2018-01-07 12:00:00,9473.0557861877
2018-01-07 15:00:00,8552.079284131252
2018-01-07 18:00:00,9730.029077541541
2018-01-07 21:00:00,10740.803220758502
2018-01-08 00:00:00,8166.69185480216
2018-01-08 03:00:00,8128.985087145896
2018-01-08 06:00:00,10912.232742520393
2018-01-08 09:00:00,9134.95619450192
2018-01-08 12:00:00,9175.076452937803
2018-01-08 15:00:00,11895.744425027573
2018-01-08 18:00:00,10388.735849212684
2018-01-08 21:00:00,11308.951377799407
2018-01-09 00:00:00,11655.371994620828
2018-01-09 03:00:00,8867.587134603955
2018-01-09 06:00:00,10464.711377978858
2018-01-09 09:00:00,10683.729273234723
2018-01-09 12:00:00,9588.42971267556
2018-01-09 15:00:00,9718.469696409966
2018-01-09 18:00:00,10302.219562355045
2018-01-09 21:00:00,9766.12466488772
2018-01-10 00:00:00,10872.885521035143
2018-01-10 03:00:00,9216.437619260807
2018-01-10 06:00:00,10255.560452263057
2018-01-10 09:00:00,10293.78257599828
2018-01-10 12:00:00,9843.970462677105
2018-01-10 15:00:00,7987.925676084632
2018-01-10 18:00:00,8878.065006272725
2018-01-10 21:00:00,8298.365297794538
2018-01-11 00:00:00,8720.978545695058
2018-01-11 03:00:00,9324.498438516488
2018-01-11 06:00:00,8667.664577226464
2018-01-11 09:00:00,8265.461914906284
2018-01-11 12:00:00,6797.877646681188
2018-01-11 15:00:00,7633.753841464698
2018-01-11 18:00:00,9095.501506092452
2018-01-11 21:00:00,9307.786194403536
2018-01-12 00:00:00,10093.743752441756
2018-01-12 03:00:00,9351.358429658829
2018-01-12 06:00:00,10169.966207335987
2018-01-12 09:00:00,9280.28380587076
2018-01-12 12:00:00,10252.14356027525
2018-01-12 15:00:00,10464.98531976234
2018-01-12 18:00:00,10488.681841749729
2018-01-12 21:00:00,11003.43317771588
2018-01-13 00:00:00,10279.746074479246
2018-01-13 03:00:00,11780.412704247643
2018-01-13 06:00:00,10945.995423511056
2018-01-13 09:00:00,9978.901600645224
2018-01-13 12:00:00,11130.383051365385
2018-01-13 15:00:00,11744.71851837527
2018-01-13 18:00:00,12143.778775759507
2018-01-13 21:00:00,8025.461949428378
2018-01-14 00:00:00,7904.541010012729
2018-01-14 03:00:00,9295.847131971257
2018-01-14 06:00:00,7572.525396214959
2018-01-14 09:00:00,8807.998084078801
2018-01-14 12:00:00,8818.345909430927
2018-01-14 15:00:00,8818.987714370436
2018-01-14 18:00:00,8718.427787161541
2018-01-14 21:00:00,8984.008245727438
2018-01-15 00:00:00,9589.464808066426
2018-01-15 03:00:00,9063.651770436505
2018-01-15 06:00:00,9831.031235756758
2018-01-15 09:00:00,9744.7230154139
2018-01-15 12:00:00,10146.053266274748
2018-01-15 15:00:00,10705.544348291827
2018-01-15 18:00:00,9531.917854256506
2018-01-15 21:00:00,9364.423192724316
2018-01-16 00:00:00,9343.83948518939
2018-01-16 03:00:00,9606.049081378818
2018-01-16 06:00:00,9260.231419277883
2018-01-16 09:00:00,9256.833648813394
2018-01-16 12:00:00,9477.258108958747
2018-01-16 15:00:00,9493.959215537603
2018-01-16 18:00:00,9460.339877716495
2018-01-16 21:00:00,8688.751601066571
2018-01-17 00:00:00,7810.095171226651
2018-01-17 03:00:00,7789.621735610972
2018-01-17 06:00:00,9382.432050142597
2018-01-17 09:00:00,8784.045994701568
2018-01-17 12:00:00,9509.368160850556
2018-01-17 15:00:00,11200.725907862847
2018-01-17 18:00:00,10859.66099320169
2018-01-17 21:00:00,11592.221712830444
2018-01-18 00:00:00,10297.710223345206
2018-01-18 03:00:00,12370.370516808129
2018-01-18 06:00:00,8563.09212101808
2018-01-18 09:00:00,9475.92422647061
2018-01-18 12:00:00,9603.852049370675
2018-01-18 15:00:00,10297.454095419936
2018-01-18 18:00:00,11992.774313003654
2018-01-18 21:00:00,10428.227503591623
2018-01-19 00:00:00,10005.954510494757
2018-01-19 03:00:00,10661.346881289466
2018-01-19 06:00:00,10777.86944618445
2018-01-19 09:00:00,10748.554730148291
2018-01-19 12:00:00,11051.445755867699
